date,lat,lon,fishing_hours,geartype,flag
2020-01-06,45.25,-66.75,1.7021228160928152,trawlers,CAN
2020-01-06,45.25,-66.25,1.810548814356944,trawlers,CAN
2020-01-06,45.25,-65.25,1.688197462023917,trawlers,CAN
2020-01-06,45.25,-63.75,2.3634973045617897,trawlers,CAN
2020-01-06,45.25,-63.25,3.505054856697643,other_fishing,CAN
2020-01-06,45.25,-62.75,6.824755882909329,other_fishing,CAN
2020-01-06,45.25,-62.25,11.720899562845728,trawlers,CAN
2020-01-06,45.25,-61.75,11.131599821599028,other_fishing,CAN
2020-01-06,45.25,-61.25,9.382875028621411,trawlers,CAN
2020-01-06,45.25,-60.75,4.680351466541997,other_fishing,CAN
2020-01-06,45.25,-60.25,2.014429083523578,other_fishing,CAN
2020-01-06,45.25,-59.25,1.6913252583397653,trawlers,CAN
2020-01-06,45.25,-58.25,1.3124559688880415,other_fishing,CAN
2020-01-06,45.25,-57.75,1.320202617859362,trawlers,CAN
2020-01-06,45.25,-56.75,1.6076737895630138,other_fishing,CAN
2020-01-06,45.25,-56.25,1.7766504752734724,trawlers,CAN
2020-01-06,45.25,-55.75,1.2072511516737339,trawlers,CAN
2020-01-06,45.25,-55.25,0.8901179483195503,other_fishing,CAN
2020-01-06,45.75,-66.75,1.720640408470133,trawlers,CAN
2020-01-06,45.75,-66.25,1.6167607492580243,trawlers,CAN
2020-01-06,45.75,-65.25,0.904446141990894,trawlers,CAN
2020-01-06,45.75,-64.25,2.107928634291048,trawlers,CAN
2020-01-06,45.75,-63.75,3.0923246302414995,trawlers,CAN
2020-01-06,45.75,-63.25,5.283941174804388,other_fishing,CAN
2020-01-06,45.75,-62.75,11.81967513045711,other_fishing,CAN
2020-01-06,45.75,-62.25,16.382273155657266,trawlers,CAN
2020-01-06,45.75,-61.75,13.415553779691335,other_fishing,CAN
2020-01-06,45.75,-61.25,9.969386373166945,other_fishing,CAN
2020-01-06,45.75,-60.75,7.484593934035533,trawlers,CAN
2020-01-06,45.75,-60.25,3.734465174260009,trawlers,CAN
2020-01-06,45.75,-59.75,1.535495959429168,trawlers,CAN
2020-01-06,45.75,-59.25,0.9573543691354163,other_fishing,CAN
2020-01-06,45.75,-58.75,1.6414559442085697,trawlers,CAN
2020-01-06,45.75,-56.25,1.1743944038441607,other_fishing,CAN
2020-01-06,45.75,-55.75,1.9426099956780116,trawlers,CAN
2020-01-06,45.75,-55.25,1.6069594866224801,other_fishing,CAN
2020-01-06,46.25,-66.75,1.9799790325716027,trawlers,CAN
2020-01-06,46.25,-66.25,1.663553997760996,trawlers,CAN
2020-01-06,46.25,-65.75,1.0968359227546811,trawlers,CAN
2020-01-06,46.25,-65.25,1.4410305879732141,other_fishing,CAN
2020-01-06,46.25,-64.75,1.8113793380362921,other_fishing,CAN
2020-01-06,46.25,-64.25,2.4674774474173957,trawlers,CAN
